rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
296,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
296,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
297,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
298,2019,2019-05-03,5.3.6,spring,3,8,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,feeding
298,2019,2019-08-24,8.24.7,summer,24,46,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
299,2019,2019-05-03,5.3.6,spring,3,8,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,movement
300,2019,2019-05-03,5.3.6,spring,3,8,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
303,2019,2019-05-03,5.3.6,spring,3,8,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,perching
305,2019,2019-05-03,5.3.6,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
306,2019,2019-05-03,5.3.6,spring,3,8,shrub,Columbidae,Mourning Dove,resident,granivore,perching
307,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
308,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
309,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
309,2019,2019-08-24,8.24.7,summer,24,46,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
311,2019,2019-05-03,5.3.8,spring,3,9,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,movement
314,2019,2019-08-24,8.24.7,summer,24,46,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,perching
314,2019,2019-05-03,5.3.8,spring,3,9,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
315,2019,2019-08-24,8.24.7,summer,24,46,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,perching
315,2019,2019-05-03,5.3.8,spring,3,9,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
316,2019,2019-08-24,8.24.7,summer,24,46,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
316,2019,2019-05-03,5.3.8,spring,3,9,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
317,2019,2019-05-03,5.3.8,spring,3,9,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,feeding
317,2019,2019-08-24,8.24.7,summer,24,46,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
318,2019,2019-05-03,5.3.8,spring,3,9,cactus,Odontiphoridae,Gambel's Quail,resident,herbivore,mating behaviors
319,2019,2019-05-03,5.3.8,spring,3,9,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
320,2019,2019-05-03,5.3.8,spring,3,9,cactus,Mimidae,Northern Mockingbird,resident,omnivore,movement
320,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
321,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
321,2019,2019-05-03,5.3.8,spring,3,9,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
322,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
322,2019,2019-05-03,5.3.8,spring,3,9,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
