tag,weight,fruit_x,fruit_y,fruit_z,color,condition
368,1.99,20,15,15,grey,dessicated
368,1.93,15,15,15,grey,dessicated
368,1.84,15,10,15,grey,dessicated
368,1.79,15,10,15,grey,dessicated
368,1.57,20,15,15,grey,dessicated
368,1.48,10,10,15,grey,dessicated
369,3.13,15,15,20,grey,dessicated
369,7,20,20,25,yellow,ripe
369,6.6,20,20,25,yellow,ripe
369,6.56,20,20,25,brown,ripe
369,6.26,25,20,25,yellow brown,ripe
369,5.79,20,20,25,yellow,ripe
369,5.15,20,20,25,yellow,ripe
369,5.03,20,20,30,yellow brown,ripe
369,4.29,20,20,20,yellow,ripe
369,4.1,20,20,25,yellow,ripe
370,4.69,20,20,25,grey,dessicated
370,4.22,20,20,20,grey,dessicated
370,3.83,20,20,25,grey,dessicated
370,3.72,20,20,25,grey,dessicated
370,3.53,20,20,25,grey,dessicated
370,3.51,20,20,20,grey,dessicated
370,3.28,20,20,20,grey,dessicated
370,3.05,20,20,20,grey,dessicated
370,2.99,20,20,20,grey,dessicated
370,2.88,20,20,25,grey,dessicated
371,3.04,20,20,25,grey,dessicated
371,2.59,20,20,20,grey,dessicated
371,2.55,20,20,20,grey,dessicated
371,2.15,20,20,20,grey,dessicated
371,2.01,15,15,20,grey,dessicated
371,1.83,15,15,20,grey,dessicated
371,1.72,15,10,20,grey,dessicated
371,1.69,15,15,25,grey,dessicated
371,1.14,15,15,15,grey,dessicated
371,1.08,15,15,15,grey,dessicated
372,3.15,20,20,25,grey,dessicated
372,2.97,20,20,20,grey,dessicated
372,2.94,20,20,25,grey,dessicated
372,2.87,20,20,20,grey,dessicated
372,2.86,20,20,30,grey,dessicated
372,2.84,20,20,20,grey,dessicated
372,2.77,20,20,20,grey,dessicated
372,2.65,20,20,25,grey,dessicated
372,2.31,20,20,25,grey,dessicated
372,2.24,20,20,25,grey,dessicated
373,3.64,20,20,25,grey,dessicated
373,1.62,20,20,20,grey,dessicated
373,7.06,20,20,20,yellow brown,ripe
373,6.95,20,20,30,brown,ripe
373,6.71,20,20,20,brown,ripe
373,5.37,20,20,25,brown,ripe
373,5.11,15,15,25,yellow green,ripe
373,4.4,20,20,30,yellow,ripe
373,3.98,20,20,30,yellow,ripe
374,3.57,20,15,20,grey,dessicated
374,3.3,20,20,25,grey,dessicated
