"Plot Title: 20597550"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597550, SEN S/N: 20597550)","Intensity, lum/ft² (LGR S/N: 20597550, SEN S/N: 20597550)","Coupler Attached (LGR S/N: 20597550)","Host Connected (LGR S/N: 20597550)","Coupler Detached (LGR S/N: 20597550)","Stopped (LGR S/N: 20597550)","End Of File (LGR S/N: 20597550)"
248,05/17/19 02:10:00 AM,44.922,0.0,,,,,
249,05/17/19 02:20:00 AM,44.560,0.0,,,,,
250,05/17/19 02:30:00 AM,44.560,0.0,,,,,
251,05/17/19 02:40:00 AM,44.560,0.0,,,,,
252,05/17/19 02:50:00 AM,44.560,0.0,,,,,
253,05/17/19 03:00:00 AM,44.379,0.0,,,,,
254,05/17/19 03:10:00 AM,44.195,0.0,,,,,
255,05/17/19 03:20:00 AM,44.013,0.0,,,,,
256,05/17/19 03:30:00 AM,43.831,0.0,,,,,
257,05/17/19 03:40:00 AM,43.831,0.0,,,,,
258,05/17/19 03:50:00 AM,43.648,0.0,,,,,
259,05/17/19 04:00:00 AM,43.831,0.0,,,,,
260,05/17/19 04:10:00 AM,43.648,0.0,,,,,
261,05/17/19 04:20:00 AM,43.466,0.0,,,,,
262,05/17/19 04:30:00 AM,43.282,0.0,,,,,
263,05/17/19 04:40:00 AM,42.915,0.0,,,,,
264,05/17/19 04:50:00 AM,42.915,0.0,,,,,
265,05/17/19 05:00:00 AM,42.915,0.0,,,,,
266,05/17/19 05:10:00 AM,42.915,0.0,,,,,
267,05/17/19 05:20:00 AM,43.099,0.0,,,,,
268,05/17/19 05:30:00 AM,43.466,1.0,,,,,
269,05/17/19 05:40:00 AM,43.648,4.0,,,,,
270,05/17/19 05:50:00 AM,43.831,8.0,,,,,
271,05/17/19 06:00:00 AM,43.831,11.0,,,,,
272,05/17/19 06:10:00 AM,44.013,15.0,,,,,
273,05/17/19 06:20:00 AM,44.379,18.0,,,,,
274,05/17/19 06:30:00 AM,44.742,21.0,,,,,
275,05/17/19 06:40:00 AM,45.104,24.0,,,,,
276,05/17/19 06:50:00 AM,45.648,27.0,,,,,
277,05/17/19 07:00:00 AM,47.624,152.0,,,,,
278,05/17/19 07:10:00 AM,49.759,200.0,,,,,
279,05/17/19 07:20:00 AM,51.172,256.0,,,,,
280,05/17/19 07:30:00 AM,52.225,256.0,,,,,
281,05/17/19 07:40:00 AM,53.274,288.0,,,,,
282,05/17/19 07:50:00 AM,54.842,304.0,,,,,
283,05/17/19 08:00:00 AM,55.711,336.0,,,,,
284,05/17/19 08:10:00 AM,56.923,368.0,,,,,
285,05/17/19 08:20:00 AM,57.268,400.0,,,,,
286,05/17/19 08:30:00 AM,58.131,384.0,,,,,
287,05/17/19 08:40:00 AM,58.820,368.0,,,,,
288,05/17/19 08:50:00 AM,58.993,320.0,,,,,
289,05/17/19 09:00:00 AM,57.958,320.0,,,,,
290,05/17/19 09:10:00 AM,59.851,384.0,,,,,
291,05/17/19 09:20:00 AM,61.569,608.0,,,,,
292,05/17/19 09:30:00 AM,70.995,864.0,,,,,
293,05/17/19 09:40:00 AM,77.749,1152.0,,,,,
294,05/17/19 09:50:00 AM,83.579,1216.0,,,,,
295,05/17/19 10:00:00 AM,85.194,1216.0,,,,,
296,05/17/19 10:10:00 AM,90.680,1152.0,,,,,
297,05/17/19 10:20:00 AM,90.867,1216.0,,,,,
298,05/17/19 10:30:00 AM,92.737,1344.0,,,,,
299,05/17/19 10:40:00 AM,93.493,1216.0,,,,,
300,05/17/19 10:50:00 AM,89.384,1152.0,,,,,
301,05/17/19 11:00:00 AM,87.915,608.0,,,,,
302,05/17/19 11:10:00 AM,77.574,416.0,,,,,
303,05/17/19 11:20:00 AM,69.964,320.0,,,,,
